epoch,loss,masked_acc,val_loss,val_masked_acc
0,0.6807764768600464,0.38015303015708923,0.9447469115257263,0.4980914294719696
1,0.6029391288757324,0.47747305035591125,0.9355331063270569,0.5127260684967041
2,0.5929465889930725,0.48866623640060425,0.9409168362617493,0.4968235194683075
3,0.5811653733253479,0.5024206638336182,0.9333785772323608,0.5001820921897888
4,0.5770848989486694,0.5079695582389832,0.9354298114776611,0.5039587616920471
5,0.5765389204025269,0.5078306794166565,0.9348622560501099,0.4866534471511841
6,0.5763630867004395,0.5075863599777222,0.9241024255752563,0.5135084390640259
7,0.5740642547607422,0.5079339146614075,0.9273107647895813,0.5112828612327576
8,0.572960615158081,0.5122504830360413,0.9314223527908325,0.504970371723175
9,0.5682450532913208,0.5161091685295105,0.9306936264038086,0.5048085451126099
