epoch,loss,masked_acc,val_loss,val_masked_acc
0,0.3441736400127411,0.6707620024681091,0.26064661145210266,0.9078450202941895
1,0.14824502170085907,0.8791357278823853,0.23507913947105408,0.9182419776916504
2,0.12810678780078888,0.8967515230178833,0.21457061171531677,0.9258034229278564
3,0.11753591895103455,0.9058488607406616,0.22472870349884033,0.9182419776916504
4,0.10960298776626587,0.912895143032074,0.19970902800559998,0.9324196577072144
5,0.1012326255440712,0.9201498031616211,0.18900473415851593,0.9371455311775208
6,0.09313590824604034,0.9266564249992371,0.18975701928138733,0.9319470524787903
7,0.08440875262022018,0.9332278370857239,0.19433853030204773,0.9328922629356384
8,0.07383482903242111,0.9408437609672546,0.21694844961166382,0.9281663298606873
9,0.06188465654850006,0.9501258134841919,0.24398216605186462,0.9281663298606873
